Id,InternalName,DisplayName,CatCategory,BreedId,BreedDisplayName,FurType,ColorType,PatternType,FeatureType,BodyType,TemperamentTags,BehaviorTags,PreferenceTags,CultureTags,RoleClass,StarterWeaponId,BaseHp,BaseMoveSpeed,BaseMeleeDamage,BaseRangedDamage,BaseAttackSpeed,BaseCritChance,BaseArmor,BaseDodge,BaseLuck,BaseHarvesting,PassiveDesc,PassiveKey,VisualKeywords,AudioKeywords,UnlockCondition,IsEnabled,Remark
char_wellrounded,WellRounded,Well Rounded,pet_cat,european_shorthair,European Shorthair,short,gray_cat,tabby,,medium,gentle|stable|independent,slow_blink|marking,quiet_corner|observation_point,tradition|guardian,balanced,wpn_toy_rod_01,10,5.0,0,0,0.0,0.0,0,0.0,0,0,No major weakness. Smooth progression in both combat and shopping.,passive_balanced_growth,round_face|steady_pose|short_fur,calm|soft,default,True,Playable character v1
char_brawler,Brawler,Brawler,pet_cat,american_shorthair,American Shorthair,short,orange_cat,tabby,,medium,friendly|playful|alert,tail_swing|marking,high_place|observation_point,wild_power|guardian,melee,wpn_paw_glove_01,11,4.9,2,-2,0.08,0.02,1,0.0,0,0,Excels at close combat and benefits more from melee-focused builds.,passive_close_pressure,muscular|square_face|forward_pose,heavy|rough,default,True,Playable character v1
char_ranger,Ranger,Ranger,wild_cat,cheetah,Cheetah,short,,spotted,,large,alert|agile|sensitive,patrol|hide,observation_point|forest_like,wild_power|guardian,ranged,wpn_feather_dart_01,8,5.8,-1,2,0.06,0.05,0,0.03,0,0,Ranged weapons scale better and moving while fighting is safer.,passive_mobile_shot,slim|long_leg|spotted,sharp|swift,default,True,Playable character v1
char_mage,Mage,Mage,pet_cat,russian_blue,Russian Blue,short,gray_cat,solid,,medium,calm|sensitive|alert,purr|slow_blink,quiet_corner|warm_place,mystic|royal,special,wpn_purr_staff_01,8,4.8,-2,2,0.1,0.0,0,0.0,0,0,Arcane and energy-style weapons gain extra value on this character.,passive_arcane_focus,slim|blue_gray|glow_eye,mystic|soft,default,True,Playable character v1
char_chunky,Chunky,Chunky,pet_cat,british_shorthair,British Shorthair,short,orange_cat,solid,,large,gentle|stable|loyal,purr|tail_swing,warm_place|quiet_corner,guardian|healing,melee,wpn_claw_01,14,4.2,1,0,-0.05,0.0,2,-0.02,0,0,"Higher durability and max health, but lower overall tempo.",passive_tank_body,round|heavy|dense_fur,low|thick,default,True,Playable character v1
char_lucky,Lucky,Lucky,color_cat,calico,Calico,short,calico,,,medium,friendly|gentle|agile,rub|purr,warm_place|high_place,lucky|wealth,special,wpn_charm_bell_01,9,5.1,0,0,0.02,0.0,0,0.0,4,3,"Generates stronger economy through luck, drops, and scaling resources.",passive_lucky_drop,colorful|bright|light_step,clear|happy,default,True,Playable character v1
char_speedy,Speedy,Speedy,pet_cat,singapura,Singapura,short,brown_cat,solid,,small,curious|playful|agile,tail_swing|patrol,high_place|small_space,innovation|guardian,ranged,wpn_laser_pointer_01,7,6.2,-1,1,0.12,0.03,0,0.08,0,0,High movement and dodge make kiting and spacing easier.,passive_speed_burst,tiny|lean|quick,light|fast,default,True,Playable character v1
char_engineer,Engineer,Engineer,pet_cat,american_shorthair,American Shorthair,short,cow_cat,patched,curl_ear,medium,stable|alert|curious,marking|observe,observation_point|quiet_corner,innovation|guardian,summon,wpn_clockwork_mouse_01,10,4.7,0,1,0.0,0.0,1,0.0,1,2,Summons and device-oriented weapons gain extra value.,passive_machine_synergy,toolkit|goggles|compact,click|metal,default,True,Playable character v1
char_hunter,Hunter,Hunter,wild_cat,leopard_cat,Leopard Cat,short,,spotted,,medium,alert|wild|sensitive,patrol|hide,forest_like|observation_point,wild_power|guardian,special,wpn_fishbone_boomerang_01,9,5.4,1,1,0.05,0.08,0,0.04,0,0,Critical and chase-based builds are stronger on consecutive kills.,passive_hunt_instinct,spots|low_pose|sharp_eye,predator|hiss,default,True,Playable character v1
char_doctor,Doctor,Doctor,pet_cat,ragdoll,Ragdoll,long,white_cat,point_color,,large,gentle|friendly|loyal,purr|knead,warm_place|quiet_corner,healing|guardian,support,wpn_water_orb_01,10,4.7,-1,0,0.02,0.0,0,0.0,1,2,Healing and defensive items are more efficient on this character.,passive_heal_support,soft_fur|calm|blue_eye,warm|soft,default,True,Playable character v1
char_crazy,Crazy,Crazy,wild_cat,caracal,Caracal,short,orange_cat,solid,,medium,wild|alert|agile,airplane_ears|tail_swing,high_place|observation_point,wild_power|mystic,melee,wpn_claw_01,8,5.7,3,-2,0.15,0.02,-1,0.05,-1,0,Very aggressive melee scaling with weaker defensive stability.,passive_frenzy,ears_tuft|lean|feral,harsh|rapid,default,True,Playable character v1
char_ghost,Ghost,Ghost,pet_cat,angora,Angora,long,white_cat,solid,,medium,calm|sensitive|independent,slow_blink|hide,quiet_corner|small_space,mystic|purity,special,wpn_charm_bell_01,8,5.4,0,1,0.0,0.04,0,0.12,1,0,"High dodge and luck support evasive, slippery play patterns.",passive_phase_step,long_fur|white|misty,airy|echo,default,True,Playable character v1
