Id,InternalName,DisplayName,ThreatCategory,ThreatSource,ThreatLevel,HabitatTag,BehaviorType,BehaviorTags,CounterReactionTags,BaseHp,MoveSpeed,ContactDamage,AttackInterval,AggroRange,DropMaterial,EliteWeight,BossWeight,VisualKeywords,AudioKeywords,PrefabKey,UnlockWave,IsEnabled,Remark
enemy_dog_stray_01,StrayDog,Stray Dog,physical,dog,high,street,chase,territory|pressure|close_range,hide|warning|escape,25,3.5,3,1.2,8.0,5,0,0,dirty|brown|pressure,bark|heavy_step,Enemy_Dog_Stray,1,True,Playable enemy pool v1
enemy_robot_vacuum_01,RobotVacuum,Robot Vacuum,technology,robot,high,indoor,zone_control,unpredictable|noise|patrol,observe|attack|escape,32,2.2,2,1.6,6.0,6,10,0,round|metal|cleaning,motor|beep,Enemy_RobotVacuum,2,True,Playable enemy pool v1
enemy_snake_alley_01,AlleySnake,Alley Snake,physical,reptile,medium,alley,ambush,stealth|poison|sudden,warning|escape|observe,18,3.0,4,1.6,6.0,5,0,0,thin|dark|coil,hiss|slide,Enemy_Snake_Alley,3,True,Playable enemy pool v1
enemy_stranger_cat_01,StrangerCat,Stranger Cat,relationship,stranger,medium,street,chase,territory|agile|duel,warning|attack|escape,20,4.4,2,1.0,7.5,4,0,0,lean|scrappy|alert,meow|hiss,Enemy_StrangerCat,4,True,Playable enemy pool v1
enemy_shadow_puff_01,ShadowPuff,Shadow Puff,imaginary,shadow,low,indoor,swarm,elusive|flicker|bait,observe|attack,14,4.8,1,0.9,5.5,3,0,0,smoke|small|fast,whisper|flutter,Enemy_ShadowPuff,1,True,Playable enemy pool v1
enemy_noise_speaker_01,NoiseSpeaker,Noise Speaker,environment,noise,medium,rooftop,range,noise|pulse|pressure,hide|escape|observe,26,1.8,2,2.0,10.0,5,0,0,speaker|pulse|metal,hum|blast,Enemy_NoiseSpeaker,6,True,Playable enemy pool v1
enemy_owl_hunter_01,OwlHunter,Owl Hunter,physical,raptor,extreme,night_sky,range,dive|air_strike|fear,hide|escape|warning,55,3.2,6,2.4,12.0,12,40,0,wing|sharp|night,screech|flap,Enemy_OwlHunter,5,True,Playable enemy pool v1
enemy_hostile_catcher_01,HostileCatcher,Hostile Catcher,human,human_hostile,extreme,alley,charge,net|capture|pressure,escape|hide|warning,60,2.8,7,2.1,10.0,14,35,0,hood|net|danger,step|snare,Enemy_HostileCatcher,10,True,Playable enemy pool v1
enemy_dog_alpha_01,DogAlpha,Dog Alpha,physical,dog,extreme,street,charge,pack_leader|charge|roar,hide|escape|warning,180,3.9,10,1.8,14.0,40,0,50,scar|large|command,roar|charge,Enemy_DogAlpha,15,True,Playable enemy pool v1
enemy_vacuum_overlord_01,VacuumOverlord,Vacuum Overlord,technology,robot,extreme,indoor,zone_control,spin|pull|noise,attack|escape|observe,200,2.4,9,1.5,12.0,45,0,50,huge|metal|spin,motor|alarm,Enemy_VacuumOverlord,15,True,Playable enemy pool v1
